Started 12:00 AM 3/29/2015


------------------------------
Entry: 209, Minute: 3, Seconds: 33, Temp: 16.50
Entry: 210, Minute: 3, Seconds: 35, Temp: 16.50
Entry: 211, Minute: 3, Seconds: 36, Temp: 16.40
Entry: 212, Minute: 3, Seconds: 37, Temp: 16.50
Entry: 213, Minute: 3, Seconds: 38, Temp: 16.50
Entry: 214, Minute: 3, Seconds: 39, Temp: 16.50
Entry: 215, Minute: 3, Seconds: 40, Temp: 16.40
Entry: 216, Minute: 3, Seconds: 41, Temp: 16.50
Entry: 217, Minute: 3, Seconds: 42, Temp: 16.50
Entry: 218, Minute: 3, Seconds: 43, Temp: 16.50
Entry: 219, Minute: 3, Seconds: 44, Temp: 16.50
Entry: 220, Minute: 3, Seconds: 45, Temp: 16.50
Entry: 221, Minute: 3, Seconds: 46, Temp: 16.50
Entry: 222, Minute: 3, Seconds: 47, Temp: 16.40
Entry: 223, Minute: 3, Seconds: 48, Temp: 16.50
Entry: 224, Minute: 3, Seconds: 49, Temp: 16.50
Entry: 225, Minute: 3, Seconds: 50, Temp: 16.50
Entry: 226, Minute: 3, Seconds: 51, Temp: 16.50
Entry: 227, Minute: 3, Seconds: 52, Temp: 16.50
Entry: 228, Minute: 3, Seconds: 53, Temp: 16.50
Entry: 229, Minute: 3, Seconds: 54, Temp: 16.40
Entry: 230, Minute: 3, Seconds: 55, Temp: 16.40
Entry: 231, Minute: 3, Seconds: 56, Temp: 16.50
Entry: 232, Minute: 3, Seconds: 57, Temp: 16.50
Entry: 233, Minute: 3, Seconds: 58, Temp: 16.50
Entry: 234, Minute: 3, Seconds: 59, Temp: 16.50
Entry: 235, Minute: 4, Seconds: 0, Temp: 16.40
Entry: 236, Minute: 4, Seconds: 1, Temp: 16.50
Entry: 237, Minute: 4, Seconds: 2, Temp: 16.40
Entry: 238, Minute: 4, Seconds: 3, Temp: 16.50
Entry: 239, Minute: 4, Seconds: 4, Temp: 16.50
Entry: 240, Minute: 4, Seconds: 5, Temp: 16.50
Entry: 241, Minute: 4, Seconds: 6, Temp: 16.50
Entry: 242, Minute: 4, Seconds: 7, Temp: 16.50
Entry: 243, Minute: 4, Seconds: 8, Temp: 16.50
Entry: 244, Minute: 4, Seconds: 9, Temp: 16.50
Entry: 245, Minute: 4, Seconds: 10, Temp: 16.50
Entry: 246, Minute: 4, Seconds: 11, Temp: 16.50
Entry: 247, Minute: 4, Seconds: 12, Temp: 16.50
Entry: 248, Minute: 4, Seconds: 14, Temp: 16.50
Entry: 249, Minute: 4, Seconds: 15, Temp: 16.50
Entry: 250, Minute: 4, Seconds: 16, Temp: 16.50
Entry: 251, Minute: 4, Seconds: 17, Temp: 16.50
Entry: 252, Minute: 4, Seconds: 18, Temp: 16.50
Entry: 253, Minute: 4, Seconds: 19, Temp: 16.50
Entry: 254, Minute: 4, Seconds: 20, Temp: 16.50
Entry: 255, Minute: 4, Seconds: 21, Temp: 16.50
Entry: 256, Minute: 4, Seconds: 22, Temp: 16.50
Entry: 257, Minute: 4, Seconds: 23, Temp: 16.50
Entry: 258, Minute: 4, Seconds: 24, Temp: 16.50
Entry: 259, Minute: 4, Seconds: 25, Temp: 16.50
Entry: 260, Minute: 4, Seconds: 26, Temp: 16.50
Entry: 261, Minute: 4, Seconds: 27, Temp: 16.50
Entry: 262, Minute: 4, Seconds: 28, Temp: 16.50
Entry: 263, Minute: 4, Seconds: 29, Temp: 16.50
Entry: 264, Minute: 4, Seconds: 30, Temp: 16.50
Entry: 265, Minute: 4, Seconds: 31, Temp: 16.50
Entry: 266, Minute: 4, Seconds: 32, Temp: 16.50
Entry: 267, Minute: 4, Seconds: 33, Temp: 16.50
Entry: 268, Minute: 4, Seconds: 34, Temp: 16.50
Entry: 269, Minute: 4, Seconds: 35, Temp: 16.50
Entry: 270, Minute: 4, Seconds: 36, Temp: 16.50
Entry: 271, Minute: 4, Seconds: 37, Temp: 16.50
Entry: 272, Minute: 4, Seconds: 38, Temp: 16.50
Entry: 273, Minute: 4, Seconds: 39, Temp: 16.50
Entry: 274, Minute: 4, Seconds: 40, Temp: 16.50
Entry: 275, Minute: 4, Seconds: 41, Temp: 16.50
Entry: 276, Minute: 4, Seconds: 42, Temp: 16.50
Entry: 277, Minute: 4, Seconds: 43, Temp: 16.50
Entry: 278, Minute: 4, Seconds: 44, Temp: 16.50
Entry: 279, Minute: 4, Seconds: 45, Temp: 16.60
Entry: 280, Minute: 4, Seconds: 46, Temp: 16.50
Entry: 281, Minute: 4, Seconds: 47, Temp: 16.50
Entry: 282, Minute: 4, Seconds: 48, Temp: 16.60
Entry: 283, Minute: 4, Seconds: 49, Temp: 16.50
Entry: 284, Minute: 4, Seconds: 50, Temp: 16.50
Entry: 285, Minute: 4, Seconds: 51, Temp: 16.60
Entry: 286, Minute: 4, Seconds: 52, Temp: 16.50
Entry: 287, Minute: 4, Seconds: 53, Temp: 16.60
Entry: 288, Minute: 4, Seconds: 54, Temp: 16.50
Entry: 289, Minute: 4, Seconds: 55, Temp: 16.50
Entry: 290, Minute: 4, Seconds: 57, Temp: 16.60
Entry: 291, Minute: 4, Seconds: 58, Temp: 16.60
Entry: 292, Minute: 4, Seconds: 59, Temp: 16.60
Entry: 293, Minute: 5, Seconds: 0, Temp: 16.60
Entry: 294, Minute: 5, Seconds: 1, Temp: 16.60
Entry: 295, Minute: 5, Seconds: 2, Temp: 16.60
Entry: 296, Minute: 5, Seconds: 3, Temp: 16.60
Entry: 297, Minute: 5, Seconds: 4, Temp: 16.60
Entry: 298, Minute: 5, Seconds: 5, Temp: 16.60
Entry: 299, Minute: 5, Seconds: 6, Temp: 16.50
Entry: 300, Minute: 5, Seconds: 7, Temp: 16.60
Entry: 301, Minute: 5, Seconds: 8, Temp: 16.60
Entry: 302, Minute: 5, Seconds: 9, Temp: 16.60
Entry: 303, Minute: 5, Seconds: 10, Temp: 16.50
Entry: 304, Minute: 5, Seconds: 11, Temp: 16.50
Entry: 305, Minute: 5, Seconds: 12, Temp: 16.50
Entry: 306, Minute: 5, Seconds: 13, Temp: 16.60
Entry: 307, Minute: 5, Seconds: 14, Temp: 16.60
Entry: 308, Minute: 5, Seconds: 15, Temp: 16.50
Entry: 309, Minute: 5, Seconds: 16, Temp: 16.50
Entry: 310, Minute: 5, Seconds: 17, Temp: 16.60
Entry: 311, Minute: 5, Seconds: 18, Temp: 16.60
Entry: 312, Minute: 5, Seconds: 19, Temp: 16.60
Entry: 313, Minute: 5, Seconds: 20, Temp: 16.60
Entry: 314, Minute: 5, Seconds: 21, Temp: 16.50
Entry: 315, Minute: 5, Seconds: 22, Temp: 16.60
Entry: 316, Minute: 5, Seconds: 23, Temp: 16.60
Entry: 317, Minute: 5, Seconds: 24, Temp: 16.60
Entry: 318, Minute: 5, Seconds: 25, Temp: 16.50
Entry: 319, Minute: 5, Seconds: 26, Temp: 16.60
Entry: 320, Minute: 5, Seconds: 27, Temp: 16.60
Entry: 321, Minute: 5, Seconds: 28, Temp: 16.50
Entry: 322, Minute: 5, Seconds: 29, Temp: 16.60
Entry: 323, Minute: 5, Seconds: 30, Temp: 16.50
Entry: 324, Minute: 5, Seconds: 31, Temp: 16.50
Entry: 325, Minute: 5, Seconds: 32, Temp: 16.60
Entry: 326, Minute: 5, Seconds: 33, Temp: 16.50
Entry: 327, Minute: 5, Seconds: 34, Temp: 16.60
Entry: 328, Minute: 5, Seconds: 35, Temp: 16.60
Entry: 329, Minute: 5, Seconds: 36, Temp: 16.60
Entry: 330, Minute: 5, Seconds: 37, Temp: 16.60
Entry: 331, Minute: 5, Seconds: 38, Temp: 16.60
Entry: 332, Minute: 5, Seconds: 40, Temp: 16.60
Entry: 333, Minute: 5, Seconds: 41, Temp: 16.60
Entry: 334, Minute: 5, Seconds: 42, Temp: 16.60
Entry: 335, Minute: 5, Seconds: 43, Temp: 16.50
Entry: 336, Minute: 5, Seconds: 44, Temp: 16.60
Entry: 337, Minute: 5, Seconds: 45, Temp: 16.60
Entry: 338, Minute: 5, Seconds: 46, Temp: 16.60
Entry: 339, Minute: 5, Seconds: 47, Temp: 16.60
Entry: 340, Minute: 5, Seconds: 48, Temp: 16.60
Entry: 341, Minute: 5, Seconds: 49, Temp: 16.60
Entry: 342, Minute: 5, Seconds: 50, Temp: 16.60
Entry: 343, Minute: 5, Seconds: 51, Temp: 16.60
Entry: 344, Minute: 5, Seconds: 52, Temp: 16.60
Entry: 345, Minute: 5, Seconds: 53, Temp: 16.60
Entry: 346, Minute: 5, Seconds: 54, Temp: 16.60
Entry: 347, Minute: 5, Seconds: 55, Temp: 16.60
Entry: 348, Minute: 5, Seconds: 56, Temp: 16.60
Entry: 349, Minute: 5, Seconds: 57, Temp: 16.60
Entry: 350, Minute: 5, Seconds: 58, Temp: 16.60
Entry: 351, Minute: 5, Seconds: 59, Temp: 16.60
Entry: 352, Minute: 6, Seconds: 0, Temp: 16.60
Entry: 353, Minute: 6, Seconds: 1, Temp: 16.60
Entry: 354, Minute: 6, Seconds: 2, Temp: 16.60
Entry: 355, Minute: 6, Seconds: 3, Temp: 16.60
Entry: 356, Minute: 6, Seconds: 4, Temp: 16.60
Entry: 357, Minute: 6, Seconds: 5, Temp: 16.60
Entry: 358, Minute: 6, Seconds: 6, Temp: 16.60
Entry: 359, Minute: 6, Seconds: 7, Temp: 16.60
Entry: 360, Minute: 6, Seconds: 8, Temp: 16.60
Entry: 361, Minute: 6, Seconds: 9, Temp: 16.60
Entry: 362, Minute: 6, Seconds: 10, Temp: 16.60
Entry: 363, Minute: 6, Seconds: 11, Temp: 16.60
Entry: 364, Minute: 6, Seconds: 12, Temp: 16.60
Entry: 365, Minute: 6, Seconds: 13, Temp: 16.60
Entry: 366, Minute: 6, Seconds: 14, Temp: 16.60
Entry: 367, Minute: 6, Seconds: 15, Temp: 16.60
Entry: 368, Minute: 6, Seconds: 16, Temp: 16.60
Entry: 369, Minute: 6, Seconds: 18, Temp: 16.60
Entry: 370, Minute: 6, Seconds: 19, Temp: 16.60
